Item_Number,Year,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Number,OffenderID,OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,Victim_Number,PersonType,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Hate Crime,Report Type
J-11649-21,2021,5,N Galvez St & Spain St,CLOSED,100,HIT AND RUN,10/10/2021 15:40,14 100,HIT & RUN DRIVING,1,716621,ARRESTED,BLACK,MALE,16,1,VICTIM,,,,Non-fatal,,Incident Report
I-23368-21,2021,7,E I-10 & Chef Menteur Hw,CLOSED,100,HIT AND RUN,9/21/2021 8:40,14 100,HIT & RUN DRIVING,1,716809,ARRESTED,BLACK,FEMALE,21,1,VICTIM,,,,Non-fatal,,Supplemental Report
K-15744-21,2021,3,Saint Anthony Av & Gentilly Bd,CLOSED,99,RECKLESS DRIVING,11/13/2021 9:29,14 99,RECKLESS OPERATION OF A VEHICLE,1,717023,ARRESTED,BLACK,MALE,20,1,VICTIM,,,,Non-fatal,,Incident Report
B-17017-21,2021,3,Overton St & King St,CLOSED,100,HIT AND RUN,2/13/2021 20:50,14 100,HIT & RUN DRIVING,1,712358,ARRESTED,WHITE,MALE,15,1,VICTIM,WHITE,FEMALE,18,Non-fatal,,Supplemental Report
B-17017-21,2021,3,Overton St & King St,CLOSED,100,HIT AND RUN,2/13/2021 20:50,14 99,RECKLESS OPERATION OF A VEHICLE,1,712358,ARRESTED,WHITE,MALE,15,1,VICTIM,WHITE,FEMALE,18,Non-fatal,,Supplemental Report
D-29363-21,2021,7,058XX Read Bd,CLOSED,100,HIT AND RUN,4/22/2021 5:00,14 100,HIT & RUN DRIVING,1,678947,ARRESTED,BLACK,MALE,44,1,VICTIM,,,,Non-fatal,,Supplemental Report
H-17422-21,2021,3,080XX Lakeshore Dr,CLOSED,98,DRIVING WHILE INTOXICATED,8/14/2021 22:07,14 99,RECKLESS OPERATION OF A VEHICLE,1,702335,ARRESTED,BLACK,FEMALE,29,1,VICTIM,,,,Non-fatal,,Incident Report
H-17422-21,2021,3,080XX Lakeshore Dr,CLOSED,98,DRIVING WHILE INTOXICATED,8/14/2021 22:07,14 100,HIT & RUN DRIVING,1,702335,ARRESTED,BLACK,FEMALE,29,2,VICTIM,BLACK,MALE,25,Non-fatal,,Incident Report
H-17422-21,2021,3,080XX Lakeshore Dr,CLOSED,98,DRIVING WHILE INTOXICATED,8/14/2021 22:07,14 100,HIT & RUN DRIVING,1,702335,ARRESTED,BLACK,FEMALE,29,4,VICTIM,BLACK,MALE,34,Non-fatal,,Incident Report
J-03336-21,2021,1,N Claiborne Av & Columbus St,CLOSED,99,RECKLESS DRIVING,10/3/2021 17:53,14 99,RECKLESS OPERATION OF A VEHICLE,1,711625,ARRESTED,BLACK,MALE,33,1,VICTIM,,,,Non-fatal,,Incident Report
